index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
260,47391.68,-22.52,211.11,-2.06,-107.42,-188.38,-108.65,183.84
261,47329.89,-23.16,211.11,-2.07,-107.42,-188.37,-108.64,183.84
262,47267.89,-23.4,211.1,-2.08,-107.43,-188.36,-108.62,183.84
263,47205.73,-24.73,211.09,-2.09,-107.43,-188.35,-108.61,183.84
264,47143.46,-25.46,211.09,-2.1,-107.44,-188.34,-108.6,183.84
265,47081.11,-26.16,211.08,-2.11,-107.44,-188.34,-108.59,183.84
266,47018.74,-26.83,211.07,-2.12,-107.45,-188.33,-108.58,183.84
267,46956.39,-27.46,211.07,-2.13,-107.46,-188.32,-108.57,183.85
268,46894.1,-28.05,211.06,-2.14,-107.46,-188.31,-108.56,183.85
269,46831.92,-28.62,211.06,-2.15,-107.47,-188.3,-108.55,183.85
270,46769.9,-29.15,211.05,-2.16,-107.47,-188.3,-108.54,183.85
271,46708.06,-29.65,211.04,-2.17,-107.48,-188.29,-108.53,183.85
272,46646.47,-30.11,211.04,-2.17,-107.49,-188.28,-108.52,183.85
273,46585.15,-30.53,211.03,-2.18,-107.49,-188.27,-108.5,183.85
274,46524.15,-30.94,211.02,-2.19,-107.5,-188.26,-108.49,183.85
275,46463.5,-32.03,211.02,-2.2,-107.5,-188.26,-108.48,183.85
276,46403.25,-31.64,211.01,-2.21,-107.51,-188.25,-108.47,183.86
277,46343.43,-31.94,211.01,-2.22,-107.52,-188.24,-108.46,183.86
278,46284.08,-32.22,211.0,-2.23,-107.52,-188.23,-108.45,183.86
279,46225.24,-32.46,210.99,-2.24,-107.53,-188.23,-108.44,183.86
280,46166.94,-32.67,210.99,-2.25,-107.53,-188.22,-108.43,183.86
281,46109.22,-32.85,210.98,-2.26,-107.54,-188.21,-108.42,183.86
282,46052.11,-33.01,210.98,-2.27,-107.54,-188.2,-108.41,183.86
283,45995.63,-33.13,210.97,-2.28,-107.55,-188.2,-108.4,183.86
284,45939.84,-33.23,210.96,-2.28,-107.56,-188.19,-108.39,183.86
285,45884.74,-33.3,210.96,-2.29,-107.56,-188.18,-108.38,183.86
286,45830.38,-33.34,210.95,-2.3,-107.57,-188.17,-108.37,183.87
287,45776.79,-33.36,210.95,-2.31,-107.57,-188.17,-108.36,183.87
288,45723.98,-33.36,210.94,-2.32,-107.58,-188.16,-108.35,183.87
289,45671.99,-33.32,210.94,-2.33,-107.58,-188.15,-108.34,183.87
290,45620.85,-33.26,210.93,-2.33,-107.59,-188.15,-108.33,183.87
291,45570.57,-33.18,210.93,-2.34,-107.59,-188.14,-108.32,183.87
292,45521.19,-33.07,210.92,-2.35,-107.6,-188.13,-108.32,183.87
293,45472.72,-32.94,210.92,-2.36,-107.6,-188.13,-108.31,183.87
294,45425.19,-32.65,210.91,-2.36,-107.61,-188.12,-108.3,183.87
295,45378.61,-32.62,210.91,-2.37,-107.61,-188.12,-108.29,183.87
296,45333.01,-32.22,210.9,-2.38,-107.62,-188.11,-108.28,183.88
297,45288.4,-32.21,210.9,-2.39,-107.62,-188.1,-108.27,183.88
298,45244.81,-31.53,210.89,-2.39,-107.62,-188.1,-108.27,183.88
299,45202.24,-31.71,210.89,-2.4,-107.63,-188.09,-108.26,183.88
300,45160.72,-31.44,210.88,-2.41,-107.63,-188.09,-108.25,183.88
301,45120.26,-31.14,210.88,-2.41,-107.64,-188.08,-108.24,183.88
302,45080.87,-30.83,210.88,-2.42,-107.64,-188.08,-108.24,183.88
303,45042.57,-30.5,210.87,-2.42,-107.64,-188.07,-108.23,183.88
304,45005.36,-30.13,210.87,-2.43,-107.65,-188.07,-108.22,183.88
305,44969.25,-29.8,210.86,-2.44,-107.65,-188.06,-108.22,183.88
306,44934.26,-29.43,210.86,-2.44,-107.66,-188.06,-108.21,183.88
307,44900.39,-29.03,210.86,-2.45,-107.66,-188.05,-108.2,183.88
308,44867.66,-28.63,210.85,-2.45,-107.66,-188.05,-108.2,183.89
309,44836.06,-28.21,210.85,-2.46,-107.67,-188.05,-108.19,183.89
310,44805.6,-27.78,210.85,-2.46,-107.67,-188.04,-108.19,183.89
311,44776.29,-27.33,210.85,-2.47,-107.67,-188.04,-108.18,183.89
312,44748.12,-26.88,210.84,-2.47,-107.67,-188.03,-108.18,183.89
313,44721.11,-26.41,210.84,-2.48,-107.68,-188.03,-108.17,183.89
314,44695.25,-25.93,210.84,-2.48,-107.68,-188.03,-108.17,183.89
315,44670.54,-25.44,210.83,-2.48,-107.68,-188.02,-108.16,183.89
316,44646.99,-24.95,210.83,-2.49,-107.69,-188.02,-108.16,183.89
317,44624.58,-24.44,210.83,-2.49,-107.69,-188.02,-108.15,183.89
318,44603.33,-23.92,210.83,-2.49,-107.69,-188.02,-108.15,183.89
319,44583.22,-23.4,210.83,-2.5,-107.69,-188.01,-108.15,183.89
320,44564.25,-22.87,210.82,-2.5,-107.69,-188.01,-108.14,183.89
321,44546.42,-22.33,210.82,-2.5,-107.7,-188.01,-108.14,183.89
322,44529.73,-21.79,210.82,-2.51,-107.7,-188.01,-108.14,183.89
323,44514.15,-21.24,210.82,-2.51,-107.7,-188.0,-108.13,183.89
324,44499.7,-20.68,210.82,-2.51,-107.7,-188.0,-108.13,183.89
325,44486.35,-20.12,210.82,-2.51,-107.7,-188.0,-108.13,183.89
